Customer ID,Total_Revenue,Total_Orders,Total_Items,Avg_Order_Value,Segment
12346,77556.46,12,74285,6463.038333333334,VIP
12347,5633.32,8,3286,704.165,High Value
12348,2019.4,5,2714,403.88,Mid Value
12349,4428.69,4,1624,1107.1725,High Value
12350,334.4,1,197,334.4,Low Value
12351,300.93,1,261,300.93,Low Value
12352,2849.84,10,724,284.98400000000004,Mid Value
12353,406.76,2,212,203.38,Low Value
12354,1079.4,1,530,1079.4,Mid Value
12355,947.61,2,543,473.805,Mid Value
12356,6373.68,6,3417,1062.28,High Value
12357,18287.66,3,6587,6095.886666666666,VIP
12358,3887.07,5,1079,777.414,High Value
12359,8935.94,10,2752,893.594,High Value
12360,4252.89,8,2459,531.61125,High Value
12361,511.25,4,235,127.8125,Mid Value
12362,5356.23,11,2230,486.92999999999995,High Value
12363,552.0,2,408,276.0,Mid Value
12364,1313.1,4,1506,328.275,Mid Value
12365,641.38,2,174,320.69,Mid Value
12366,500.24,1,296,500.24,Mid Value
12367,168.9,1,173,168.9,Low Value
12368,917.6999999999999,1,330,917.6999999999999,Mid Value
12369,1791.15,3,1241,597.0500000000001,Mid Value
12370,4320.31,7,2605,617.1871428571429,High Value
12371,4067.38,5,1436,813.476,High Value
12372,1298.04,3,794,432.68,Mid Value
12373,1127.65,3,516,375.8833333333334,Mid Value
12374,2989.2200000000003,4,1362,747.3050000000001,Mid Value
12375,457.5,2,178,228.75,Low Value
12376,503.15,2,240,251.575,Mid Value
12377,3426.32,4,2105,856.58,High Value
12378,5416.32,2,3316,2708.16,High Value
12379,1620.22,4,815,405.055,Mid Value
12380,9676.300000000001,11,3355,879.6636363636364,High Value
12381,1845.31,5,808,369.062,Mid Value
12383,1850.56,5,1532,370.11199999999997,Mid Value
12384,585.27,2,126,292.635,Mid Value
12385,1938.4,1,612,1938.4,Mid Value
12386,660.8,2,568,330.4,Mid Value
12387,143.94,1,134,143.94,Low Value
12388,3901.11,8,2001,487.63875,High Value
12389,1433.33,3,614,477.77666666666664,Mid Value
12390,549.84,1,353,549.84,Mid Value
12391,2773.42,6,1220,462.2366666666667,Mid Value
12392,234.75000000000003,1,73,234.75000000000003,Low Value
12393,2399.4500000000003,6,1311,399.90833333333336,Mid Value
12394,1272.48,2,819,636.24,Mid Value
12395,5067.27,15,3733,337.81800000000004,High Value
12396,931.43,1,591,931.43,Mid Value
12397,2409.9,2,1263,1204.95,Mid Value
12398,1635.6599999999999,1,1394,1635.6599999999999,Mid Value
12399,1962.3,7,2198,280.3285714285714,Mid Value
12400,205.25,1,91,205.25,Low Value
12401,84.3,1,11,84.3,Low Value
12402,1256.9,6,584,209.48333333333335,Mid Value
12403,1019.36,2,260,509.68,Mid Value
12404,63.24,1,1,63.24,Low Value
12405,1710.39,1,857,1710.39,Mid Value
12406,6390.36,5,3416,1278.072,High Value
12407,1708.1200000000001,5,1416,341.624,Mid Value
12408,4340.7699999999995,8,2229,542.5962499999999,High Value
12409,23419.29,7,13143,3345.612857142857,VIP
12410,1013.71,3,341,337.90333333333336,Mid Value
12411,346.9,1,138,346.9,Low Value
12412,2596.93,6,1997,432.82166666666666,Mid Value
12413,999.45,4,319,249.8625,Mid Value
12414,952.41,6,495,158.73499999999999,Mid Value
12415,144458.37,28,91447,5159.2275,VIP
12416,202.56,1,132,202.56,Low Value
12417,6816.91,20,2890,340.8455,High Value
12418,2021.2,4,1088,505.3,Mid Value
12419,503.01,2,231,251.505,Mid Value
12420,600.39,1,345,600.39,Mid Value
12421,1098.6,6,652,183.1,Mid Value
12422,5231.8,17,2596,307.7529411764706,High Value
12423,2622.39,10,1793,262.239,Mid Value
12424,3340.03,4,2025,835.0075,High Value
12425,1741.41,2,1147,870.705,Mid Value
12426,1345.21,2,584,672.605,Mid Value
12427,1129.3,3,612,376.43333333333334,Mid Value
12428,7956.46,9,3536,884.0511111111111,High Value
12429,7485.91,8,3344,935.73875,High Value
12430,256.4,1,117,256.4,Low Value
12431,10857.97,27,4717,402.147037037037,VIP
12432,5059.32,5,1801,1011.8639999999999,High Value
12433,20581.26,10,17116,2058.1259999999997,VIP
12434,1103.43,3,532,367.81,Mid Value
12435,13925.93,6,4958,2320.9883333333332,VIP
12436,509.01,1,211,509.01,Mid Value
12437,12683.4,39,8000,325.2153846153846,VIP
12438,2906.85,2,1180,1453.425,Mid Value
12439,1158.18,2,484,579.09,Mid Value
12440,859.2,2,331,429.6,Mid Value
12441,347.1,1,242,347.1,Low Value
12442,172.06,1,182,172.06,Low Value
12443,485.31,1,182,485.31,Low Value
12444,5005.46,5,1153,1001.092,High Value
12445,434.98,2,206,217.49,Low Value
12446,1002.3100000000001,1,351,1002.3100000000001,Mid Value
12447,476.49,1,190,476.49,Low Value
12448,449.45,1,243,449.45,Low Value
12449,4835.89,6,2282,805.9816666666667,High Value
12450,688.2,5,442,137.64000000000001,Mid Value
12451,12669.88,8,9359,1583.735,VIP
12452,430.57,2,185,215.285,Low Value
12453,707.09,1,473,707.09,Mid Value
12454,16679.78,5,7703,3335.9559999999997,VIP
12455,5879.95,10,3302,587.995,High Value
12456,3181.04,3,1633,1060.3466666666666,High Value
12457,2995.91,8,1094,374.48875,Mid Value
12458,1777.49,4,986,444.3725,Mid Value
12459,454.36,1,258,454.36,Low Value
12460,326.65,1,170,326.65,Low Value
12461,826.88,2,287,413.44,Mid Value
12462,1189.59,2,536,594.795,Mid Value
12463,1344.78,4,776,336.195,Mid Value
12464,1212.05,8,112,151.50625,Mid Value
12465,742.1899999999999,2,479,371.09499999999997,Mid Value
12466,56.73,1,1,56.73,Low Value
12467,132.8,1,129,132.8,Low Value
12468,3670.74,5,2201,734.1479999999999,High Value
12469,3070.54,2,2552,1535.27,High Value
12470,211.95,1,95,211.95,Low Value
12471,39963.79,79,16882,505.8707594936709,VIP
12472,17880.59,19,11350,941.0836842105264,VIP
12473,3938.5499999999997,5,2439,787.7099999999999,High Value
12474,12424.45,31,7954,400.7887096774194,VIP
12475,1149.64,2,771,574.82,Mid Value
12476,14115.41,23,5645,613.7134782608696,VIP
12477,20276.37,9,6119,2252.93,VIP
12478,680.99,1,236,680.99,Mid Value
12479,527.2,1,385,527.2,Mid Value
12480,5464.85,7,2952,780.6928571428572,High Value
12481,12361.39,15,7253,824.0926666666667,VIP
12482,23691.4,29,27042,816.944827586207,VIP
12483,5120.58,19,2172,269.5042105263158,High Value
12484,6370.15,12,3271,530.8458333333333,High Value
12485,708.1,1,414,708.1,Mid Value
12486,1037.28,1,523,1037.28,Mid Value
12487,285.29999999999995,1,174,285.29999999999995,Low Value
12488,1298.66,3,529,432.8866666666667,Mid Value
12489,334.93,1,105,334.93,Low Value
12490,9823.64,21,5906,467.79238095238094,High Value
12491,460.40000000000003,1,260,460.40000000000003,Low Value
12492,715.21,3,444,238.40333333333334,Mid Value
12493,433.74,2,207,216.87,Low Value
12494,1872.8700000000001,9,988,208.0966666666667,Mid Value
12495,357.4,1,130,357.4,Low Value
12496,54.09,2,33,27.045,Low Value
12497,6248.5,3,5685,2082.8333333333335,High Value
12498,403.70000000000005,3,159,134.5666666666667,Low Value
12499,393.72,1,302,393.72,Low Value
12500,5955.21,19,3377,313.4321052631579,High Value
12501,2169.39,1,1783,2169.39,Mid Value
12502,3723.87,5,820,744.774,High Value
12503,1126.0,1,561,1126.0,Mid Value
12504,779.05,4,458,194.7625,Mid Value
12505,955.2,1,324,955.2,Mid Value
12506,73.5,1,23,73.5,Low Value
12507,1844.06,4,1256,461.015,Mid Value
12508,398.27,2,272,199.135,Low Value
12509,176.5,1,55,176.5,Low Value
12510,5178.02,9,2049,575.3355555555556,High Value
12511,3084.02,1,1753,3084.02,High Value
12512,138.03,2,99,69.015,Low Value
12513,612.29,1,462,612.29,Mid Value
12514,1597.76,2,840,798.88,Mid Value
12515,383.7,1,131,383.7,Low Value
12516,2648.62,4,1952,662.155,Mid Value
12517,2502.84,5,1371,500.56800000000004,Mid Value
12518,2056.89,5,1318,411.378,Mid Value
12519,726.54,2,395,363.27,Mid Value
12520,2634.26,5,1439,526.8520000000001,Mid Value
12521,599.68,1,309,599.68,Mid Value
12522,192.72,2,194,96.36,Low Value
12523,4372.15,23,2275,190.09347826086955,High Value
12524,11126.11,17,7178,654.4770588235294,VIP
12525,973.73,3,509,324.57666666666665,Mid Value
12526,1316.66,3,632,438.8866666666667,Mid Value
12527,735.51,5,526,147.102,Mid Value
12528,1933.48,6,756,322.24666666666667,Mid Value
12529,316.48,1,192,316.48,Low Value
12530,3759.26,9,2713,417.6955555555556,High Value
12531,1933.2,2,1119,966.6,Mid Value
12532,349.83000000000004,1,153,349.83000000000004,Low Value
12533,1367.89,2,704,683.945,Mid Value
12534,1089.18,1,651,1089.18,Mid Value
12535,716.35,2,219,358.175,Mid Value
12536,12601.830000000002,3,2803,4200.610000000001,VIP
12537,732.94,1,449,732.94,Mid Value
12538,640.45,2,336,320.225,Mid Value
12539,11214.75,7,4535,1602.107142857143,VIP
12540,22254.49,33,11019,674.3784848484848,VIP
12541,981.18,3,680,327.06,Mid Value
12542,481.88,2,522,240.94,Low Value
12543,980.25,1,688,980.25,Mid Value
12544,372.7,1,136,372.7,Low Value
12545,1000.39,2,523,500.195,Mid Value
12546,1161.5,2,633,580.75,Mid Value
12547,383.58,3,309,127.86,Low Value
12548,95.19999999999999,1,49,95.19999999999999,Low Value
12549,1575.68,6,1366,262.61333333333334,Mid Value
12550,964.83,1,569,964.83,Mid Value
12551,168.0,1,100,168.0,Low Value
12552,437.82,2,88,218.91,Low Value
12553,4608.75,12,2325,384.0625,High Value
12554,468.5,1,240,468.5,Low Value
12555,129.23,1,1,129.23,Low Value
12556,603.71,2,358,301.855,Mid Value
12557,18716.14,8,6782,2339.5175,VIP
12558,269.96,1,196,269.96,Low Value
12559,561.71,2,283,280.855,Mid Value
12560,2134.01,3,1110,711.3366666666667,Mid Value
12561,238.85,1,177,238.85,Low Value
12562,4966.92,9,2327,551.88,High Value
12563,249.24,1,113,249.24,Low Value
12564,456.9,1,133,456.9,Low Value
12565,145.92,1,80,145.92,Low Value
12566,351.65,1,265,351.65,Low Value
12567,13709.86,15,6086,913.9906666666667,VIP
12568,70.0,1,48,70.0,Low Value
12569,4124.69,32,1801,128.8965625,High Value
12570,77.52,1,1,77.52,Low Value
12571,519.61,2,523,259.805,Mid Value
12572,1020.42,2,452,510.21,Mid Value
12573,717.41,5,479,143.482,Mid Value
12574,218.45,1,61,218.45,Low Value
12575,622.8199999999999,2,315,311.40999999999997,Mid Value
12576,2142.72,8,1494,267.84,Mid Value
12577,1653.75,8,1197,206.71875,Mid Value
12578,4642.45,4,2380,1160.6125,High Value
12579,440.42,1,285,440.42,Low Value
12580,1052.9,2,569,526.45,Mid Value
12581,197.71,1,161,197.71,Low Value
12582,1980.4,4,985,495.1,Mid Value
12583,14447.44,27,8984,535.0903703703704,VIP
12584,2338.15,9,416,259.7944444444445,Mid Value
12585,2040.1,2,1279,1020.05,Mid Value
12586,2062.67,4,687,515.6675,Mid Value
12587,144.0,1,51,144.0,Low Value
12588,958.78,4,438,239.695,Mid Value
12589,4695.66,8,1764,586.9575,High Value
12590,9864.26,2,4283,4932.13,High Value
12591,1352.15,3,677,450.7166666666667,Mid Value
12592,2582.66,5,1875,516.5319999999999,Mid Value
12593,418.09999999999997,3,206,139.36666666666665,Low Value
12594,5090.110000000001,15,2768,339.3406666666667,High Value
12595,299.02,1,271,299.02,Low Value
12596,618.27,2,474,309.135,Mid Value
12597,3811.22,4,2236,952.805,High Value
12598,4534.09,11,2906,412.19,High Value
12599,2296.72,13,2189,176.67076923076922,Mid Value
12600,5043.92,21,1414,240.18666666666667,High Value
12601,681.26,6,290,113.54333333333334,Mid Value
12602,153.12,1,162,153.12,Low Value
12603,739.1999999999999,1,63,739.1999999999999,Mid Value
12604,254.18,2,201,127.09,Low Value
12605,1232.95,4,929,308.2375,Mid Value
12606,21.0,1,1,21.0,Low Value
12607,1579.51,1,1228,1579.51,Mid Value
12608,415.79,1,323,415.79,Low Value
12609,3435.86,9,1553,381.76222222222225,High Value
12610,2099.54,5,1049,419.908,Mid Value
12611,1193.32,1,846,1193.32,Mid Value
12612,704.0400000000001,1,262,704.0400000000001,Mid Value
12613,6835.07,10,4163,683.507,High Value
12614,315.6,1,76,315.6,Low Value
12615,5740.98,8,3317,717.6225,High Value
12616,1131.1,3,498,377.0333333333333,Mid Value
12617,355.53,1,213,355.53,Low Value
12618,177.31,1,96,177.31,Low Value
12619,3781.38,10,3518,378.13800000000003,High Value
12620,1339.41,3,1181,446.47,Mid Value
12621,24775.81,35,13933,707.8802857142857,VIP
12622,180.1,1,69,180.1,Low Value
12623,3747.84,7,1971,535.4057142857143,High Value
12624,641.13,2,355,320.565,Mid Value
12625,5164.88,4,3309,1291.22,High Value
12626,6620.48,9,3453,735.6088888888888,High Value
12627,4478.53,7,2752,639.79,High Value
12628,786.46,3,448,262.15333333333336,Mid Value
12629,1558.22,2,722,779.11,Mid Value
12630,1270.88,2,548,635.44,Mid Value
12631,3481.57,6,1607,580.2616666666667,High Value
12632,804.88,2,694,402.44,Mid Value
12633,5678.16,7,3238,811.1657142857142,High Value
12634,490.0,2,337,245.0,Low Value
12635,2930.41,4,1949,732.6025,Mid Value
12636,141.0,1,1,141.0,Low Value
12637,8340.31,12,4284,695.0258333333333,High Value
12638,921.49,2,663,460.745,Mid Value
12639,1312.37,3,631,437.45666666666665,Mid Value
12640,1174.58,3,311,391.52666666666664,Mid Value
12641,185.9,1,72,185.9,Low Value
12642,1013.26,3,552,337.75333333333333,Mid Value
12643,8350.42,12,4785,695.8683333333333,High Value
12644,1918.49,4,1032,479.6225,Mid Value
12645,3539.3,8,2125,442.4125,High Value
12646,1346.97,2,897,673.485,Mid Value
12647,17924.35,36,6878,497.89861111111105,VIP
12648,1112.0,4,518,278.0,Mid Value
12649,2294.65,8,1959,286.83125,Mid Value
12650,314.44,1,254,314.44,Low Value
12651,377.75,4,265,94.4375,Low Value
12652,1017.03,2,536,508.515,Mid Value
12653,4160.83,3,1681,1386.9433333333334,High Value
12654,601.98,5,264,120.396,Mid Value
12655,261.35,1,80,261.35,Low Value
12656,6407.83,8,2860,800.97875,High Value
12657,1643.18,4,1044,410.795,Mid Value
12658,686.05,1,320,686.05,Mid Value
12659,91.68,1,105,91.68,Low Value
12660,245.1,1,127,245.1,Low Value
12661,162.0,1,216,162.0,Low Value
12662,6988.02,20,3581,349.401,High Value
12663,239.4,2,181,119.7,Low Value
12664,6070.04,11,1495,551.8218181818182,High Value
12665,313.6,3,165,104.53333333333335,Low Value
12666,1248.42,1,370,1248.42,Mid Value
12667,620.13,1,395,620.13,Mid Value
12668,11444.68,10,5076,1144.468,VIP
12669,2744.0299999999997,3,1115,914.6766666666666,Mid Value
12670,3760.29,7,1627,537.1842857142857,High Value
12671,2622.481,1,1460,2622.481,Mid Value
12672,437.05,2,138,218.525,Low Value
12673,1230.02,3,700,410.00666666666666,Mid Value
12674,1970.6,4,1133,492.65,Mid Value
12675,958.5,2,337,479.25,Mid Value
